tube,top,bottom,length,Na (ppb),NH4 (ppb),K (ppb),Mg (ppb),Ca (ppb),Cl (ppb),NO3 (ppb),SO4 (ppb)
2,16.6969697,16.72727273,0.03030303,28.72,28.72,1.46,3.26,3.08,39.9,34.73,23.95
2,16.72727273,16.75757576,0.03030303,34.42,34.42,1.6,3.39,2.63,52.57,35.91,50.44
2,16.75757576,16.78787879,0.03030303,33.04,33.04,6.45,3.97,10.35,46.03,48.81,66.02
2,16.78787879,16.81818182,0.03030303,67.33,67.33,3.71,6.45,8,109.09,27.77,30.14
2,16.81818182,16.84848485,0.03030303,53.7,53.7,2.75,5.58,4.97,84.26,28.32,25.62
2,16.84848485,16.87878788,0.03030303,59.18,59.18,2.35,6.33,5.4,84.79,35.17,26.3
2,16.87878788,16.90909091,0.03030303,25.15,25.15,1.6,2.9,3.26,35.87,48.86,23.26
2,16.90909091,16.93939394,0.03030303,21.49,21.49,1.46,1.71,2.21,33.52,48.49,46.64
2,16.93939394,16.96969697,0.03030303,23.37,23.37,1.41,1.46,2.3,30.32,45.09,64.51
2,16.96969697,17,0.03030303,18.8,18.8,2.75,1.46,6.39,26.05,45.32,64.68
2,17,17.02439024,0.024390244,27.22,27.22,3.14,2.3,15.94,49.54,32.05,41.67
2,17.02439024,17.04878049,0.024390244,28.33,28.33,2.31,3.11,11.34,50.9,35.07,24
2,17.04878049,17.07317073,0.024390244,25.46,25.46,1.4,2.65,6.87,50.03,26.77,17.34
2,17.07317073,17.09756098,0.024390244,19.96,19.96,1.72,2.54,7.88,50.88,23.74,19.57
2,17.09756098,17.12195122,0.024390244,18.63,18.63,1.03,1.44,6.35,51.2,25.88,17.14
2,17.12195122,17.14634146,0.024390244,19.62,19.62,1.12,1.29,3.77,51,27.48,17.51
2,17.14634146,17.17073171,0.024390244,17.39,17.39,1.19,1.33,6.78,37.6,39.42,21.68
2,17.17073171,17.19512195,0.024390244,44.36,44.36,1.45,4.12,8.14,68.22,32.14,37.31
2,17.19512195,17.2195122,0.024390244,8.59,8.59,1.87,1.28,8.7,21.62,52.01,67.37
2,17.2195122,17.24390244,0.024390244,10.99,10.99,1.58,0.51,10.53,30.32,65.42,104.49
2,17.24390244,17.26829268,0.024390244,102.25,102.25,3.35,11.18,10.78,147.51,42.95,149.74
2,17.26829268,17.29268293,0.024390244,141.26,141.26,4.31,17.54,10.43,209.07,36.43,122.98
2,17.29268293,17.31707317,0.024390244,73.69,73.69,3.84,9.02,11.98,120.37,45.09,43.52
2,17.31707317,17.34146341,0.024390244,58.69,58.69,2.78,8.43,13.09,93.26,42.96,36.09
2,17.34146341,17.36585366,0.024390244,96.59,96.59,3.85,5.62,14.75,137.12,27.29,25.6
2,17.36585366,17.3902439,0.024390244,43.93,43.93,2.5,6.84,6.89,69.79,29.48,26.23
2,17.3902439,17.41463415,0.024390244,172.44,172.44,4.61,4.74,15.02,668.65,36.23,30.8
